,statement,source,veracity
337,"""I think if you look to Chicago, where you had over 4,000 victims of gun-related crimes last year, they have the strictest gun laws in the country. That certainly hasn’t helped there.""",Sarah  Huckabee Sanders,0
338,"""San Juan Teamsters didn't show up for work to distribute relief supplies"" because they went on strike.",Bloggers,0
339,"""Las Vegas shooting witnesses report multiple gunmen dressed as security guards.""",Bloggers,0
340,"90 percent of Americans ""support universal background checks"" for gun purchases.",Chris Abele,1
341,"In the Alabama Senate runoff, ""the candidate I endorsed (Luther Strange) went up MANY points after endorsement!""",Donald Trump,0
342,Said there is cholera in Puerto Rico after Hurricane Maria.,Paul Krugman,0
344,"""The soda tax can make a difference by reducing consumption of unhealthy soda pop and sugary beverages.""",Michael Bloomberg,1
345,"Some states hit hardest by opioid deaths ""have more opioid prescriptions than residents.""",Eric Schneiderman,1
346,"California Lt. Gov. Gavin Newsom was ""for (high-speed rail), before he’s against it, and then he’s for it again.""",Antonio  Villaraigosa,1
347,Says a photograph shows Seattle Seahawks player Michael Bennett burning the United States flag.,Vets for Trump,0
349,"While Mayor Rick Kriseman said he would dip into reserves this year because of Hurricane Irma, he ""went into the emergency reserves before Irma ever hit.""",Rick Baker,1
350,"""California, New York and Massachusetts, they represent about 20 percent of the population, they get close to 36 percent of Obamacare funding. It's just simply inequitable.""",Ron Johnson,0
351,"New York has ""the biggest outmigration of citizens of any state.""",Edward Cox,1
352,"""We’re the only developed nation in the world that doesn’t have paid maternity leave.""",Claire McCaskill,1
353,"Says ""No, I don't benefit, I don't benefit"" from his tax proposal.",Donald Trump,0
354,"""Human meat found in McDonald’s meat factory""",Bloggers,0
355,"Ending the estate tax would ""protect millions of small businesses and the American farmer.""",Donald Trump,0
356,"""We have one senator who’s a ‘yes’ vote ... but he’s in the hospital. And he’s a ‘yes’ vote. So we can’t do it by Friday. So we have the votes"" to pass a health care bill.",Donald Trump,0
357,"""The current city mayor (Kasim Reed) has been virtually absent in terms of regional cooperation the last eight years.""",John Eaves,0
358,"""Washington State Legislature votes to change its name because George Washington owned Slaves.""",Bloggers,0
359,"""Since 2010, Republicans have won unaffiliated voters in every general election.""",Dallas Woodhouse,1
360,"""So now they take drugs, literally, and they throw it, a hundred pounds of drugs. They throw it over the wall, they have catapults, but they throw it over the wall, and it lands and it hits somebody on the head.""",Donald Trump,1
361,"North Korea is ""the fifth or fourth most sanctioned nation.""",Cory Gardner,1
362,"""Missouri Votes to Let Employers Fire People Who Use Birth Control.""",Feministing,0
363,"""The bill that I carried cutting MO’s income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt""",Andrew Koenig,1
364,"""If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty.""",Tom Cotton,0
365,"""12 more hurricanes headed towards U.S.""",Bloggers,0
366,"Florida’s coastal and stormwater infrastructure are ""two of the most critical areas during a storm, and received D-plus and D ratings, respectively, by the American Society of Civil Engineers in 2016.""",Gwen Graham,1
367,"""NFL fines Pittsburgh Steelers $1 million each for skipping national anthem.""",TheLastLineOfDefense.org,0
368,"""Fox Sports cancels all NFL broadcasts ‘until players respect the flag.’ """,TheLastLineOfDefense.org,0
369,"""NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.""",Donald Trump,0
372,"The GOP’s health bill will protect people with pre-existing conditions ""every bit as well as Obamacare did.""",Ron Johnson,0
373,"""Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.""",Luther Strange,0
374,"""Republicans want to restore #gunrights to felons""",José Serrano,1
375,"The Graham-Cassidy health care bill does ""include coverage of pre-existing conditions.""",Donald Trump,0
376,"""Thomas Jefferson said, ‘Government that governs least governs best.’ """,Mike Pence,0
377,"Says ""Carnival Cruise Lines will now offer free cruises"" to hurricane victims.",BreakingNews247.net,0
379,"Says Ted Cruz is the ""same senator who once supported a ban on sex toys.""",New York Post,0
380,"""Ronald Reagan was a verified Democrat until his mid-50s.""",Kevin Nicholson,1
381,"Says the Austin metro region ""will lead"" the nation ""with population growth over 50%"" over the next 30 years.",John Thomaides,1
382,"Under the Graham-Cassidy health insurance bill, in ""states like Maine, Virginia, Florida, Missouri, there will be billions more dollars to provide health insurance coverage for those in those states who have been passed by by Obamacare.""",Bill Cassidy,0
384,"North Carolina is home to ""two rivers of the top five most polluted rivers"" in the U.S.",Billy Richardson,0
385,"""House Dems introduce bill to remove citizenship requirement from presidency.""",Bloggers,0
387,"""Even with a permanent income tax increase... the budget is more than $1 billion out of balance…""",Bruce Rauner,1
388,"Vermont had to ""scrap"" its single-payer health insurance program because it was ""going bankrupt.""",Sean Duffy,0
389,"""Seventy-six percent of the American people support us passing the DREAM Act … with citizenship and legalization as part of it all. … More than 60 percent of Republicans support that.""",Nancy  Pelosi,1
390,"""Susan Rice arrested for criminal ‘unmasking’ of Trump officials.""",TheLastLineOfDefense.org,0
391,"""U.S. comedian Kevin Hart in critical condition after gory car crash.""",NYDailyNews-TV.com,0
393,"Says PolitiFact reported that ""95 percent of what (Donald Trump) says is a lie.""",Joy Behar,0
395,"Says U.S. Treasury Secretary Steven Mnuchin ""wants to use a government jet that costs $25,000 per hour for his honeymoon.""",Mark Pocan,1
397,"Says Roy Moore is ""on the wrong side of Trump’s border wall.""",Senate Leadership Fund,0
398,"Democrats ""setup"" and ""manipulated"" the political violence in Charlottesville",Dana Rohrabacher,0
399,"""Mass voter fraud just discovered, to the amount that could void Hillary’s victory In New Hampshire.""",Young Conservatives,0
400,"""Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire’s U.S. Senate Seat, and perhaps also New Hampshire’s four Electoral College votes in the presidential election.""",Kris Kobach,0
403,"""Nearly 2/3 of rural Missourians don’t have access to broadband. That needs to change.""",Roy Blunt,1
404,"""President Obama used"" his DACA order ""to unilaterally confer U.S. citizenship.""",Ken Paxton,0
405,"""So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So it's 3 or 4 million, right?""",Dave Brat,0
406,"""We've got about $3 trillion in trapped cash overseas that basically can't come back in this country because of our tax laws.""",Paul Ryan,1
408,"The mobilization of the military in response to the storms in Puerto Rico and the U.S. Virgin Islands ""is the largest ever mobilization of our military in a naval and marine operation"" and an Air Force carrier there ""was the first-ever as well.""",Tom Bossert,0
411,"""Muslims’ disturbing plan comes out after grocery stores go bare to prepare for Irma.""",Freedom Daily,0
413,"""Paul Ryan doesn't know what the minimum wage is in Wisconsin.""",Tweets,0
414,"""Florida Governor Rick Scott now listed as ‘critical’ after bizarre hurricane cleanup accident.""",TheLastLineOfDefense.org,0
415,"""Georgia mosque keeps Hurricane Harvey donations, will send to Syrian refugees instead""",Bloggers,0
416,"""Mar-A-Lago (was) destroyed by (Hurricane) Irma (and) Jared Kushner (is) still missing.""",Bloggers,0
417,"""The Affordable Care Act is the single largest tax increase in my lifetime.""",Karen Handel,0
418,"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",Eric Schneiderman,1
419,"""The governor’s cuts would kick over 8,000 people out of their homes.""",Crystal Quade,0
421,"Rescinding the Deferred Action for Childhood Arrivals program ""will harm our economy.""",Louise Slaughter,1
422,"""Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid – that they’re not a boy or a girl and they can choose whichever gender they want.""",Glenna Hodge,0
423,"Sen. Kirsten Gillibrand ""no longer supports the fight to combat the international delegitimization of Israel.""",American Israel Public Affairs Committee,0
424,"""President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order"" as former President Barack Obama’s Deferred Action for Childhood Arrivals, or DACA.",Al Franken,1
425,"""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""",Bloggers,0
426,"""ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’""",Babylon Bee,0
427,"Says Tony Evers ""allowed a middle-school teacher found guilty of spreading pornographic material at school to keep teaching students.""",Republican Party of Wisconsin,0
